window id,buffer size,humidity_lost,light_lost,temp_lost,procces time
2,40001,3211,3131,3256,3163
3,39955,3229,3160,3205,2829
4,39943,3257,3225,3213,3042
5,39892,3181,3151,3189,2955
6,39944,3206,3131,3144,3003
7,39948,3200,3175,3294,3406
8,39965,3216,3129,3254,2924
9,39953,2974,2943,2961,2771
10,39985,3411,3372,3403,3020
11,39973,2496,2495,2495,3040
12,39959,3881,3858,3821,2897
13,39947,3147,3174,3168,3480
14,39966,3275,3212,3224,3294
15,39973,3201,3232,3234,3015
16,39980,3154,3179,3103,3221
17,39959,3220,3228,3189,3089
18,39954,3287,3239,3228,3212
19,39967,3158,3096,3025,3095
20,39984,3153,3261,3249,3078
